CB,Nombre,Charola,Posicion en Charola,Cantidad de Frentes,Altura,Ancho,Profundo,Image,Nombre_limpio_azure
7502270000000.0,PAPEL HIGIENICO AZALEA 4S CON AROMA,6,3,1,20.00 cm,22.00 cm,11.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\PAPEL HIGIENICO AZALEA 4S CON AROMA.png,papel higiénico azalea 4 s con aroma
7502290000000.0,Papel Higiénico Azálea 6 Rollos 500 Hojas,6,4,1,20.00 cm,27.00 cm,19.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Papel Higiénico Azálea 6 Rollos 500 Hojas.png,papel higiénico azálea 6 rollos 500 hojas
7501040000000.0,Aceite para bebe Baby Magic Mennen 100 ml bote,7,1,1,12.50 cm,5.20 cm,3.30 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Aceite para bebe Baby Magic Mennen 100 ml bote.png,aceite para bebé baby magic mennen 100 mililitros bote
7506430000000.0,Shampoo KleenBebe Manzanilla 250ml,7,2,1,18.20 cm,7.40 cm,4.50 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Shampoo KleenBebe Manzanilla 250ml.png,shampoo kleenbebe manzanilla 250 mililitros
7501950000000.0,Panales Tikytin 14pz T4,7,3,1,20.00 cm,16.00 cm,9.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Panales Tikytin 14pz T4.png,pañales tikytin 14 piezas talla 4
7501950000000.0,Panales Tikytin 14pz T5,7,4,1,20.00 cm,16.00 cm,8.50 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Panales Tikytin 14pz T5.png,pañales tikytin 14 piezas talla 5
7502270000000.0,Tikytin Ultra talla 5 X-Grande 36/4,7,5,1,26.00 cm,11.00 cm,7.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Tikytin Ultra talla 5 X-Grande 364.png,tikytin ultra talla 5 x grande 36/4
7501060000000.0,NAN 1 OPTIPRO Formula Infantil 12x400gMX,7,6,1,14.30 cm,10.00 cm,10.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\NAN 1 OPTIPRO Formula Infantil 12x400gMX.png,n.a.n 1 optipro formula infantil 12 x 400 gramos mx
7501060000000.0,NAN 2 OPTIPRO Formula Infantil 12x400gMX,7,7,1,14.30 cm,10.00 cm,10.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\NAN 2 OPTIPRO Formula Infantil 12x400gMX.png,n.a.n 2 optipro formula infantil 12 x 400 gramos mx
7501060000000.0,NAN 3 OPTIPRO FI Lata 12x400g MX,7,8,1,14.30 cm,10.00 cm,10.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\NAN 3 OPTIPRO FI Lata 12x400g MX.png,n.a.n 3 optipro fi lata 12 x 400 gramos mx
7501950000000.0,AGUA BIOLEVE 1.5 LTS,8,1,1,33.50 cm,8.50 cm,8.50 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\AGUA BIOLEVE 1.5 LTS.png,agua bioleve 1.5 litros
7502270000000.0,AGUA ALCALINA VITAWA 1.5 LTS,8,2,2,30.00 cm,9.00 cm,9.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\AGUA ALCALINA VITAWA 1.5 LTS.png,agua alcalina vitawa 1.5 litros
7502270000000.0,AGUA ALCALINA VITAWA 1LT,8,3,2,26.50 cm,8.00 cm,8.00 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\AGUA ALCALINA VITAWA 1LT.png,agua alcalina vitawa 1 litro
7502270000000.0,Agua Bioleve 1L 6pack,8,4,1,27.70 cm,16.30 cm,24.40 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\Agua Bioleve 1L 6pack.png,agua bioleve 1 litro 6 pack
7502270000000.0,AGUA PURIFICADA BIOLEVE 0.5L 8 PACK,8,5,1,19.81 cm,26.92 cm,13.46 cm,C:\Users\e-malandaf\Downloads\FEMSA\assets\Product images\AGUA PURIFICADA BIOLEVE 0.5L 8 PACK.png,agua purificada bioleve 0.5 litros 8 pack
